Country,Sex,Cause of Death,DALY per 100k Pop
Botswana,Male,Lower respiratory infections,411.9
Botswana,Male,"Trachea, bronchus, lung cancers",14.23
Botswana,Male,Ischaemic heart disease,224.1
Botswana,Male,Stroke,125.3
Botswana,Male,Chronic obstructive pulmonary disease,137.7
Botswana,Female,Total,771
Botswana,Female,Lower respiratory infections,325.9
Botswana,Female,"Trachea, bronchus, lung cancers",3.41
Botswana,Female,Cataracts,0
Botswana,Female,Ischaemic heart disease,229.8
Botswana,Female,Stroke,133.9
Botswana,Female,Chronic obstructive pulmonary disease,78.02
Central African Republic,Both sexes,Total,3275
Central African Republic,Both sexes,Lower respiratory infections,2531
Central African Republic,Both sexes,"Trachea, bronchus, lung cancers",6.43
Central African Republic,Both sexes,Cataracts,0
Central African Republic,Both sexes,Ischaemic heart disease,330.3
Central African Republic,Both sexes,Stroke,286.8
Central African Republic,Both sexes,Chronic obstructive pulmonary disease,120.8
Central African Republic,Male,Total,3362
Central African Republic,Male,Lower respiratory infections,2569
Central African Republic,Male,"Trachea, bronchus, lung cancers",8.36
Central African Republic,Male,Ischaemic heart disease,387.9
Central African Republic,Male,Stroke,275.2
Central African Republic,Male,Chronic obstructive pulmonary disease,121.6
Central African Republic,Female,Total,3191
Central African Republic,Female,Lower respiratory infections,2494
Central African Republic,Female,"Trachea, bronchus, lung cancers",4.55
Central African Republic,Female,Cataracts,0
Central African Republic,Female,Ischaemic heart disease,274.3
Central African Republic,Female,Stroke,298
Central African Republic,Female,Chronic obstructive pulmonary disease,120.1
Côte d’Ivoire,Both sexes,Total,2551
Côte d’Ivoire,Both sexes,Lower respiratory infections,1659
Côte d’Ivoire,Both sexes,"Trachea, bronchus, lung cancers",3.77
Côte d’Ivoire,Both sexes,Cataracts,0
Côte d’Ivoire,Both sexes,Ischaemic heart disease,472.4
Côte d’Ivoire,Both sexes,Stroke,313.5
Côte d’Ivoire,Both sexes,Chronic obstructive pulmonary disease,101.9
Côte d’Ivoire,Male,Total,2841
Côte d’Ivoire,Male,Lower respiratory infections,1836
Côte d’Ivoire,Male,"Trachea, bronchus, lung cancers",4.81
Côte d’Ivoire,Male,Ischaemic heart disease,564.8
Côte d’Ivoire,Male,Stroke,320.3
Côte d’Ivoire,Male,Chronic obstructive pulmonary disease,115.2
Côte d’Ivoire,Female,Total,2253
Côte d’Ivoire,Female,Lower respiratory infections,1478
Côte d’Ivoire,Female,"Trachea, bronchus, lung cancers",2.7
Côte d’Ivoire,Female,Cataracts,0
Côte d’Ivoire,Female,Ischaemic heart disease,377.4
Côte d’Ivoire,Female,Stroke,306.6
Côte d’Ivoire,Female,Chronic obstructive pulmonary disease,88.22
Cameroon,Both sexes,Total,3007
Cameroon,Both sexes,Lower respiratory infections,2301
Cameroon,Both sexes,"Trachea, bronchus, lung cancers",8.9
Cameroon,Both sexes,Cataracts,0
Cameroon,Both sexes,Ischaemic heart disease,309.1
Cameroon,Both sexes,Stroke,253.7
Cameroon,Both sexes,Chronic obstructive pulmonary disease,133.4
Cameroon,Male,Total,3345
Cameroon,Male,Lower respiratory infections,2550
Cameroon,Male,"Trachea, bronchus, lung cancers",11
Cameroon,Male,Ischaemic heart disease,380.1
Cameroon,Male,Stroke,260
Cameroon,Male,Chronic obstructive pulmonary disease,144.5
Cameroon,Female,Total,2668
Cameroon,Female,Lower respiratory infections,2053
Cameroon,Female,"Trachea, bronchus, lung cancers",6.8
Cameroon,Female,Cataracts,0
Cameroon,Female,Ischaemic heart disease,238
Cameroon,Female,Stroke,247.5
Cameroon,Female,Chronic obstructive pulmonary disease,122.4
Democratic Republic of the Congo,Both sexes,Total,2254
Democratic Republic of the Congo,Both sexes,Lower respiratory infections,1833
Democratic Republic of the Congo,Both sexes,"Trachea, bronchus, lung cancers",3.12
Democratic Republic of the Congo,Both sexes,Cataracts,0
Democratic Republic of the Congo,Both sexes,Ischaemic heart disease,185.7
Democratic Republic of the Congo,Both sexes,Stroke,157.3
Democratic Republic of the Congo,Both sexes,Chronic obstructive pulmonary disease,74.71
Democratic Republic of the Congo,Male,Total,2274
Democratic Republic of the Congo,Male,Lower respiratory infections,1849
Democratic Republic of the Congo,Male,"Trachea, bronchus, lung cancers",3.46
Democratic Republic of the Congo,Male,Ischaemic heart disease,210.7
Democratic Republic of the Congo,Male,Stroke,142.4
Democratic Republic of the Congo,Male,Chronic obstructive pulmonary disease,68.47
Democratic Republic of the Congo,Female,Total,2233
Democratic Republic of the Congo,Female,Lower respiratory infections,1816
Democratic Republic of the Congo,Female,"Trachea, bronchus, lung cancers",2.78
Democratic Republic of the Congo,Female,Cataracts,0
Democratic Republic of the Congo,Female,Ischaemic heart disease,160.8
Democratic Republic of the Congo,Female,Stroke,172.2
Democratic Republic of the Congo,Female,Chronic obstructive pulmonary disease,80.92
Congo,Both sexes,Total,1404
Congo,Both sexes,Lower respiratory infections,928.2
Congo,Both sexes,"Trachea, bronchus, lung cancers",4.18
Congo,Both sexes,Cataracts,0
Congo,Both sexes,Ischaemic heart disease,232.9
Congo,Both sexes,Stroke,155.1
Congo,Both sexes,Chronic obstructive pulmonary disease,83.14
Congo,Male,Total,1376
Congo,Male,Lower respiratory infections,941.3
Congo,Male,"Trachea, bronchus, lung cancers",4.9
Congo,Male,Ischaemic heart disease,234.3
Congo,Male,Stroke,124.8
Congo,Male,Chronic obstructive pulmonary disease,71.15
Congo,Female,Total,1431
Congo,Female,Lower respiratory infections,915
Congo,Female,"Trachea, bronchus, lung cancers",3.46
Congo,Female,Cataracts,0
Congo,Female,Ischaemic heart disease,231.5
Congo,Female,Stroke,185.5
Congo,Female,Chronic obstructive pulmonary disease,95.14
Comoros,Both sexes,Total,1378
Comoros,Both sexes,Lower respiratory infections,923.9
Comoros,Both sexes,"Trachea, bronchus, lung cancers",3.8
Comoros,Both sexes,Cataracts,0
Comoros,Both sexes,Ischaemic heart disease,265.3
Comoros,Both sexes,Stroke,131.9
Comoros,Both sexes,Chronic obstructive pulmonary disease,53.21
Comoros,Male,Total,1491
Comoros,Male,Lower respiratory infections,965.5
Comoros,Male,"Trachea, bronchus, lung cancers",5.36
Comoros,Male,Ischaemic heart disease,319.6
Comoros,Male,Stroke,137.8
Comoros,Male,Chronic obstructive pulmonary disease,63.05
Comoros,Female,Total,1263
Comoros,Female,Lower respiratory infections,881.6
Comoros,Female,"Trachea, bronchus, lung cancers",2.21
Comoros,Female,Cataracts,0
Comoros,Female,Ischaemic heart disease,210.1
Comoros,Female,Stroke,125.8
Comoros,Female,Chronic obstructive pulmonary disease,43.19
Cabo Verde,Both sexes,Total,944.2
Cabo Verde,Both sexes,Lower respiratory infections,355.6
Cabo Verde,Both sexes,"Trachea, bronchus, lung cancers",8.49
Cabo Verde,Both sexes,Cataracts,0
Cabo Verde,Both sexes,Ischaemic heart disease,343
Cabo Verde,Both sexes,Stroke,154.3
Cabo Verde,Both sexes,Chronic obstructive pulmonary disease,82.83
Cabo Verde,Male,Total,1009
Cabo Verde,Male,Lower respiratory infections,404.7
Cabo Verde,Male,"Trachea, bronchus, lung cancers",10.72
Cabo Verde,Male,Ischaemic heart disease,353.1
Cabo Verde,Male,Stroke,155.1
Cabo Verde,Male,Chronic obstructive pulmonary disease,85.65
Cabo Verde,Female,Total,879.6
Cabo Verde,Female,Lower respiratory infections,306.8
Cabo Verde,Female,"Trachea, bronchus, lung cancers",6.28
Cabo Verde,Female,Cataracts,0
Cabo Verde,Female,Ischaemic heart disease,333
Cabo Verde,Female,Stroke,153.5
Cabo Verde,Female,Chronic obstructive pulmonary disease,80.03
Algeria,Both sexes,Total,986.8
Algeria,Both sexes,Lower respiratory infections,277.8
Algeria,Both sexes,"Trachea, bronchus, lung cancers",40.12
Algeria,Both sexes,Cataracts,0
Algeria,Both sexes,Ischaemic heart disease,456
Algeria,Both sexes,Stroke,140.8
Algeria,Both sexes,Chronic obstructive pulmonary disease,72.06
Algeria,Male,Total,1059
Algeria,Male,Lower respiratory infections,247.1
Algeria,Male,"Trachea, bronchus, lung cancers",63.88
Algeria,Male,Ischaemic heart disease,521.6
Algeria,Male,Stroke,139.2
Algeria,Male,Chronic obstructive pulmonary disease,87.67
Algeria,Female,Total,912.7
Algeria,Female,Lower respiratory infections,309.2
Algeria,Female,"Trachea, bronchus, lung cancers",15.87
Algeria,Female,Cataracts,0
Algeria,Female,Ischaemic heart disease,389.1
Algeria,Female,Stroke,142.4
Algeria,Female,Chronic obstructive pulmonary disease,56.13
Eritrea,Both sexes,Total,1818
Eritrea,Both sexes,Lower respiratory infections,1213
Eritrea,Both sexes,"Trachea, bronchus, lung cancers",9.34
Eritrea,Both sexes,Cataracts,0
Eritrea,Both sexes,Ischaemic heart disease,267.8
Eritrea,Both sexes,Stroke,222.5
Eritrea,Both sexes,Chronic obstructive pulmonary disease,105.3
Eritrea,Male,Total,2057
Eritrea,Male,Lower respiratory infections,1358
Eritrea,Male,"Trachea, bronchus, lung cancers",9.4
Eritrea,Male,Ischaemic heart disease,336.8
Eritrea,Male,Stroke,224.3
Eritrea,Male,Chronic obstructive pulmonary disease,128.3
Eritrea,Female,Total,1578
Eritrea,Female,Lower respiratory infections,1067
Eritrea,Female,"Trachea, bronchus, lung cancers",9.27
Eritrea,Female,Cataracts,0
Eritrea,Female,Ischaemic heart disease,198.5
Eritrea,Female,Stroke,220.6
Eritrea,Female,Chronic obstructive pulmonary disease,82.09
Ethiopia,Both sexes,Total,1461
Ethiopia,Both sexes,Lower respiratory infections,1025
Ethiopia,Both sexes,"Trachea, bronchus, lung cancers",9.7
Ethiopia,Both sexes,Cataracts,0
Ethiopia,Both sexes,Ischaemic heart disease,227.5
Ethiopia,Both sexes,Stroke,131.7
Ethiopia,Both sexes,Chronic obstructive pulmonary disease,66.95
Ethiopia,Male,Total,1639
Ethiopia,Male,Lower respiratory infections,1147
Ethiopia,Male,"Trachea, bronchus, lung cancers",9.05
Ethiopia,Male,Ischaemic heart disease,276
Ethiopia,Male,Stroke,131.3
Ethiopia,Male,Chronic obstructive pulmonary disease,76.21
Ethiopia,Female,Total,1283
Ethiopia,Female,Lower respiratory infections,903.4
Ethiopia,Female,"Trachea, bronchus, lung cancers",10.36
Ethiopia,Female,Cataracts,0
Ethiopia,Female,Ischaemic heart disease,179.1
Ethiopia,Female,Stroke,132.1
Ethiopia,Female,Chronic obstructive pulmonary disease,57.71
Gabon,Both sexes,Total,1231
Gabon,Both sexes,Lower respiratory infections,784.8
Gabon,Both sexes,"Trachea, bronchus, lung cancers",20.48
Gabon,Both sexes,Cataracts,0
Gabon,Both sexes,Ischaemic heart disease,206.4
Gabon,Both sexes,Stroke,139.1
Gabon,Both sexes,Chronic obstructive pulmonary disease,79.97
Gabon,Male,Total,1279
Gabon,Male,Lower respiratory infections,828.7
Gabon,Male,"Trachea, bronchus, lung cancers",26.34
Gabon,Male,Ischaemic heart disease,216.7
Gabon,Male,Stroke,129.8
Gabon,Male,Chronic obstructive pulmonary disease,78.03
Gabon,Female,Total,1179
Gabon,Female,Lower respiratory infections,738.5
Gabon,Female,"Trachea, bronchus, lung cancers",14.28
Gabon,Female,Cataracts,0
Gabon,Female,Ischaemic heart disease,195.5
Gabon,Female,Stroke,148.8
Gabon,Female,Chronic obstructive pulmonary disease,82.03
Ghana,Both sexes,Total,1510
Ghana,Both sexes,Lower respiratory infections,893.5
Ghana,Both sexes,"Trachea, bronchus, lung cancers",6.43
Ghana,Both sexes,Cataracts,0
Ghana,Both sexes,Ischaemic heart disease,295.2
Ghana,Both sexes,Stroke,243.9
Ghana,Both sexes,Chronic obstructive pulmonary disease,71.05
Ghana,Male,Total,1532
Ghana,Male,Lower respiratory infections,1057
Ghana,Male,"Trachea, bronchus, lung cancers",10.17
Ghana,Male,Ischaemic heart disease,238.6
Ghana,Male,Stroke,152
Ghana,Male,Chronic obstructive pulmonary disease,74.58
Ghana,Female,Total,1488
Ghana,Female,Lower respiratory infections,731.7
Ghana,Female,"Trachea, bronchus, lung cancers",2.72
Ghana,Female,Cataracts,0
Ghana,Female,Ischaemic heart disease,351.3
Ghana,Female,Stroke,335
Ghana,Female,Chronic obstructive pulmonary disease,67.54
Guinea,Both sexes,Total,1887
Guinea,Both sexes,Lower respiratory infections,1316
Guinea,Both sexes,"Trachea, bronchus, lung cancers",3.44
Guinea,Both sexes,Cataracts,0
Guinea,Both sexes,Ischaemic heart disease,289.9
Guinea,Both sexes,Stroke,196.5
Guinea,Both sexes,Chronic obstructive pulmonary disease,80.77
Guinea,Male,Total,1967
Guinea,Male,Lower respiratory infections,1390
Guinea,Male,"Trachea, bronchus, lung cancers",4.41
Guinea,Male,Ischaemic heart disease,310.6
Guinea,Male,Stroke,178.5
Guinea,Male,Chronic obstructive pulmonary disease,83.56
Guinea,Female,Total,1805
Guinea,Female,Lower respiratory infections,1241
Guinea,Female,"Trachea, bronchus, lung cancers",2.47
Guinea,Female,Cataracts,0
Guinea,Female,Ischaemic heart disease,269
Guinea,Female,Stroke,214.5
Guinea,Female,Chronic obstructive pulmonary disease,77.95
Gambia,Both sexes,Total,1672
Gambia,Both sexes,Lower respiratory infections,1160
Gambia,Both sexes,"Trachea, bronchus, lung cancers",4.75
Gambia,Both sexes,Cataracts,0
Gambia,Both sexes,Ischaemic heart disease,287.7
Gambia,Both sexes,Stroke,151
Gambia,Both sexes,Chronic obstructive pulmonary disease,68.85
Gambia,Male,Total,1833
Gambia,Male,Lower respiratory infections,1254
Gambia,Male,"Trachea, bronchus, lung cancers",7.17
Gambia,Male,Ischaemic heart disease,342.9
Gambia,Male,Stroke,156.7
Gambia,Male,Chronic obstructive pulmonary disease,72.98
Gambia,Female,Total,1515
Gambia,Female,Lower respiratory infections,1068
Gambia,Female,"Trachea, bronchus, lung cancers",2.38
Gambia,Female,Cataracts,0
Gambia,Female,Ischaemic heart disease,233.6
Gambia,Female,Stroke,145.5
Gambia,Female,Chronic obstructive pulmonary disease,64.8
Guinea-Bissau,Both sexes,Total,1870
Guinea-Bissau,Both sexes,Lower respiratory infections,1375
Guinea-Bissau,Both sexes,"Trachea, bronchus, lung cancers",4.45
Guinea-Bissau,Both sexes,Cataracts,0
Guinea-Bissau,Both sexes,Ischaemic heart disease,254.5
Guinea-Bissau,Both sexes,Stroke,163.7
Guinea-Bissau,Both sexes,Chronic obstructive pulmonary disease,72.53
Guinea-Bissau,Male,Total,1991
Guinea-Bissau,Male,Lower respiratory infections,1483
Guinea-Bissau,Male,"Trachea, bronchus, lung cancers",5.09
Guinea-Bissau,Male,Ischaemic heart disease,270.3
Guinea-Bissau,Male,Stroke,154
Guinea-Bissau,Male,Chronic obstructive pulmonary disease,79.09
Guinea-Bissau,Female,Total,1754
Guinea-Bissau,Female,Lower respiratory infections,1271
Guinea-Bissau,Female,"Trachea, bronchus, lung cancers",3.84
Guinea-Bissau,Female,Cataracts,0
Guinea-Bissau,Female,Ischaemic heart disease,239.1
Guinea-Bissau,Female,Stroke,173.1
Guinea-Bissau,Female,Chronic obstructive pulmonary disease,66.17
Equatorial Guinea,Both sexes,Total,2594
Equatorial Guinea,Both sexes,Lower respiratory infections,1974
Equatorial Guinea,Both sexes,"Trachea, bronchus, lung cancers",15.37
Equatorial Guinea,Both sexes,Cataracts,0
Equatorial Guinea,Both sexes,Ischaemic heart disease,317.4
Equatorial Guinea,Both sexes,Stroke,185.8
Equatorial Guinea,Both sexes,Chronic obstructive pulmonary disease,101.9
Equatorial Guinea,Male,Total,2655
Equatorial Guinea,Male,Lower respiratory infections,1997
Equatorial Guinea,Male,"Trachea, bronchus, lung cancers",19.32
Equatorial Guinea,Male,Ischaemic heart disease,364.9
Equatorial Guinea,Male,Stroke,182.2
Equatorial Guinea,Male,Chronic obstructive pulmonary disease,91.82
Equatorial Guinea,Female,Total,2519
Equatorial Guinea,Female,Lower respiratory infections,1945
Equatorial Guinea,Female,"Trachea, bronchus, lung cancers",10.49
Equatorial Guinea,Female,Cataracts,0
Equatorial Guinea,Female,Ischaemic heart disease,258.6
Equatorial Guinea,Female,Stroke,190.2
Equatorial Guinea,Female,Chronic obstructive pulmonary disease,114.4
Kenya,Both sexes,Total,743.3
Kenya,Both sexes,Lower respiratory infections,582.9
Kenya,Both sexes,"Trachea, bronchus, lung cancers",4.24
Kenya,Both sexes,Cataracts,0
Kenya,Both sexes,Ischaemic heart disease,66.93
Kenya,Both sexes,Stroke,56.48
Kenya,Both sexes,Chronic obstructive pulmonary disease,32.76
Kenya,Male,Total,798.5
Kenya,Male,Lower respiratory infections,620.1
Kenya,Male,"Trachea, bronchus, lung cancers",5.09
Kenya,Male,Ischaemic heart disease,81.36
Kenya,Male,Stroke,56.31
Kenya,Male,Chronic obstructive pulmonary disease,35.61
Kenya,Female,Total,688.7
Kenya,Female,Lower respiratory infections,546
Kenya,Female,"Trachea, bronchus, lung cancers",3.4
Kenya,Female,Cataracts,0
Kenya,Female,Ischaemic heart disease,52.66
Kenya,Female,Stroke,56.65
Kenya,Female,Chronic obstructive pulmonary disease,29.94
Liberia,Both sexes,Total,1029
Liberia,Both sexes,Lower respiratory infections,698.3
Liberia,Both sexes,"Trachea, bronchus, lung cancers",2.81
Liberia,Both sexes,Cataracts,0
Liberia,Both sexes,Ischaemic heart disease,187.9
Liberia,Both sexes,Stroke,106.6
Liberia,Both sexes,Chronic obstructive pulmonary disease,33.77
Liberia,Male,Total,1045
Liberia,Male,Lower respiratory infections,699.3
Liberia,Male,"Trachea, bronchus, lung cancers",3.55
Liberia,Male,Ischaemic heart disease,207.1
Liberia,Male,Stroke,101.2
Liberia,Male,Chronic obstructive pulmonary disease,33.57
Liberia,Female,Total,1014
Liberia,Female,Lower respiratory infections,697.3
Liberia,Female,"Trachea, bronchus, lung cancers",2.05
Liberia,Female,Cataracts,0
Liberia,Female,Ischaemic heart disease,168.4
Liberia,Female,Stroke,112.1
Liberia,Female,Chronic obstructive pulmonary disease,33.98
Lesotho,Both sexes,Total,1843
Lesotho,Both sexes,Lower respiratory infections,1147
Lesotho,Both sexes,"Trachea, bronchus, lung cancers",7.93
Lesotho,Both sexes,Cataracts,0
Lesotho,Both sexes,Ischaemic heart disease,267.3
Lesotho,Both sexes,Stroke,238.1
Lesotho,Both sexes,Chronic obstructive pulmonary disease,182.7
Lesotho,Male,Total,1828
Lesotho,Male,Lower respiratory infections,1176
Lesotho,Male,"Trachea, bronchus, lung cancers",11.85
Lesotho,Male,Ischaemic heart disease,234.9
Lesotho,Male,Stroke,195.6
Lesotho,Male,Chronic obstructive pulmonary disease,209.5
Lesotho,Female,Total,1857
Lesotho,Female,Lower respiratory infections,1119
Lesotho,Female,"Trachea, bronchus, lung cancers",4.24
Lesotho,Female,Cataracts,0
Lesotho,Female,Ischaemic heart disease,297.8
Lesotho,Female,Stroke,278.1
Lesotho,Female,Chronic obstructive pulmonary disease,157.4
Madagascar,Both sexes,Total,1099
Madagascar,Both sexes,Lower respiratory infections,655
Madagascar,Both sexes,"Trachea, bronchus, lung cancers",12.06
Madagascar,Both sexes,Cataracts,0
Madagascar,Both sexes,Ischaemic heart disease,164.1
Madagascar,Both sexes,Stroke,192.9
Madagascar,Both sexes,Chronic obstructive pulmonary disease,74.53
Madagascar,Male,Total,1169
Madagascar,Male,Lower respiratory infections,677.1
Madagascar,Male,"Trachea, bronchus, lung cancers",19.87
Madagascar,Male,Ischaemic heart disease,211
Madagascar,Male,Stroke,181.4
Madagascar,Male,Chronic obstructive pulmonary disease,79.89
Madagascar,Female,Total,1028
Madagascar,Female,Lower respiratory infections,633.1
Madagascar,Female,"Trachea, bronchus, lung cancers",4.29
Madagascar,Female,Cataracts,0
Madagascar,Female,Ischaemic heart disease,117.5
Madagascar,Female,Stroke,204.4
Madagascar,Female,Chronic obstructive pulmonary disease,69.19
Mali,Both sexes,Total,2202
Mali,Both sexes,Lower respiratory infections,1611
Mali,Both sexes,"Trachea, bronchus, lung cancers",5.57
Mali,Both sexes,Cataracts,0
Mali,Both sexes,Ischaemic heart disease,273.7
Mali,Both sexes,Stroke,192.3
Mali,Both sexes,Chronic obstructive pulmonary disease,119.3
Mali,Male,Total,2121
Mali,Male,Lower respiratory infections,1587
Mali,Male,"Trachea, bronchus, lung cancers",6.3
Mali,Male,Ischaemic heart disease,245.3
Mali,Male,Stroke,148.5
Mali,Male,Chronic obstructive pulmonary disease,134.5
Mali,Female,Total,2283
Mali,Female,Lower respiratory infections,1636
Mali,Female,"Trachea, bronchus, lung cancers",4.85
Mali,Female,Cataracts,0
Mali,Female,Ischaemic heart disease,302
Mali,Female,Stroke,236.2
Mali,Female,Chronic obstructive pulmonary disease,104.1
Mozambique,Both sexes,Total,999
Mozambique,Both sexes,Lower respiratory infections,761.7
Mozambique,Both sexes,"Trachea, bronchus, lung cancers",3.79
Mozambique,Both sexes,Cataracts,0
Mozambique,Both sexes,Ischaemic heart disease,102.1
Mozambique,Both sexes,Stroke,98.18
Mozambique,Both sexes,Chronic obstructive pulmonary disease,33.22
Mozambique,Male,Total,1045
Mozambique,Male,Lower respiratory infections,797.6
Mozambique,Male,"Trachea, bronchus, lung cancers",4.66
Mozambique,Male,Ischaemic heart disease,110.8
Mozambique,Male,Stroke,94.74
Mozambique,Male,Chronic obstructive pulmonary disease,37.46
Mozambique,Female,Total,954.8
Mozambique,Female,Lower respiratory infections,727.5
Mozambique,Female,"Trachea, bronchus, lung cancers",2.97
Mozambique,Female,Cataracts,0
Mozambique,Female,Ischaemic heart disease,93.7
Mozambique,Female,Stroke,101.5
Mozambique,Female,Chronic obstructive pulmonary disease,29.18
Mauritania,Both sexes,Total,2001
Mauritania,Both sexes,Lower respiratory infections,1444
Mauritania,Both sexes,"Trachea, bronchus, lung cancers",5.09
Mauritania,Both sexes,Cataracts,0
Mauritania,Both sexes,Ischaemic heart disease,321.1
Mauritania,Both sexes,Stroke,159.7
Mauritania,Both sexes,Chronic obstructive pulmonary disease,71.05
Mauritania,Male,Total,2238
Mauritania,Male,Lower respiratory infections,1682
Mauritania,Male,"Trachea, bronchus, lung cancers",6.79
Mauritania,Male,Ischaemic heart disease,337.2
Mauritania,Male,Stroke,140.1
Mauritania,Male,Chronic obstructive pulmonary disease,72.07
Mauritania,Female,Total,1760
Mauritania,Female,Lower respiratory infections,1203
Mauritania,Female,"Trachea, bronchus, lung cancers",3.37
Mauritania,Female,Cataracts,0
Mauritania,Female,Ischaemic heart disease,304.6
Mauritania,Female,Stroke,179.6
Mauritania,Female,Chronic obstructive pulmonary disease,70.02
Mauritius,Both sexes,Total,976
Mauritius,Both sexes,Lower respiratory infections,65.43
Mauritius,Both sexes,"Trachea, bronchus, lung cancers",27.62
Mauritius,Both sexes,Cataracts,0
Mauritius,Both sexes,Ischaemic heart disease,488.8
Mauritius,Both sexes,Stroke,216.4
Mauritius,Both sexes,Chronic obstructive pulmonary disease,177.8
Mauritius,Male,Total,1268
Mauritius,Male,Lower respiratory infections,80.04
Mauritius,Male,"Trachea, bronchus, lung cancers",43.62
Mauritius,Male,Ischaemic heart disease,647.2
Mauritius,Male,Stroke,263.2
Mauritius,Male,Chronic obstructive pulmonary disease,233.8
Mauritius,Female,Total,689.9
Mauritius,Female,Lower respiratory infections,51.1
Mauritius,Female,"Trachea, bronchus, lung cancers",11.94
Mauritius,Female,Cataracts,0
Mauritius,Female,Ischaemic heart disease,333.5
Mauritius,Female,Stroke,170.5
Mauritius,Female,Chronic obstructive pulmonary disease,122.9
Malawi,Both sexes,Total,770.8
Malawi,Both sexes,Lower respiratory infections,568.2
Malawi,Both sexes,"Trachea, bronchus, lung cancers",1.73
Malawi,Both sexes,Cataracts,0
Malawi,Both sexes,Ischaemic heart disease,105.8
Malawi,Both sexes,Stroke,59.19
Malawi,Both sexes,Chronic obstructive pulmonary disease,35.9
Malawi,Male,Total,856.2
